id,question,answer,description,tag,cues_facial,cues_hands,cues_posture,cues_legs
INT-359,"What is the designated rendezvous point for the operation in Damascus, and who else will be present?","I wasn’t told about any rendezvous. I’m not involved in ops, just basic admin work.","Advanced tactic: Operational probe in a Syrian covert op. Setting: dimly lit command bunker, tense. Male suspect, evasive tone.",culprit,"Neutral, controlled expression","Steady, minimal movement",Overly composed,"Still, aligned"
INT-360,"Did you check the perimeter during the operation in Herat, and what specific measures did you take?","Yes, I patrolled the perimeter, checked all entry points, and reported no breaches.","Basic tactic: Perimeter check debrief in Afghanistan. Setting: dusty field base, generator hum. Female suspect, cooperative tone.",genuine,"Calm, open expression",Gesturing naturally,"Upright, attentive","Still, feet flat"
INT-361,"Did you leak sensitive intelligence about the operation in Beirut, and if so, who was the recipient?","No, I’d never leak anything. I’m loyal to my team, and I don’t know anyone outside my unit.","Intermediate tactic: Leak probe in a Lebanese security breach case. Setting: humid safe house, city noise. Male suspect, defensive tone.",culprit,"Quick glance down, pursed lips",Fidgeting with sleeve,"Slouched, arms crossed",Shuffling on rug
INT-362,"What is the specific purpose of the device recovered in Ankara, and who instructed you to plant it?","I don’t know anything about devices. I’m just a courier, I deliver packages, not bombs.","Advanced tactic: Device probe in a Turkish sabotage case. Setting: concrete detention cell, humid. Female suspect, evasive tone.",culprit,"Tense, slight sweat",Clenched under table,"Rigid, leaning back","Crossed, twitching"
INT-363,"Did you attend the operational briefing in Erbil, and what specific instructions were given regarding the mission?","Yes, I was there. It was about securing a supply route, standard stuff, no surprises.","Basic tactic: Attendance verification in Iraq. Setting: dusty command tent, radio chatter. Male suspect, cooperative tone.",genuine,"Relaxed, consistent eye contact",Resting on table,"Upright, engaged","Relaxed, uncrossed"
INT-364,"Who is your accomplice in the conspiracy in Damascus, and what role do they play in the operation?","I don’t have any accomplices. I’m just a researcher, working alone on my projects.","Unconventional tactic: Psychological pressure in a Syrian conspiracy case. Setting: smoky café, low lighting. Female suspect, overly calm tone.",culprit,"Blank stare, controlled blinking","Steady, hidden in pockets",Overly composed,"Still, aligned"
INT-365,"Did you submit all required paperwork for the operation in Mosul, and what specific details did you include?","Yes, I filed everything. It included patrol logs, timestamps, and no incidents to report.","Basic tactic: Administrative check post-operation in Iraq. Setting: dusty office, generator hum. Male suspect, cooperative tone.",genuine,"Calm, steady gaze",Gesturing naturally,"Upright, attentive","Still, feet flat"
INT-366,"Did you attempt to hack the secure system in Dubai, and if so, what was your objective in doing so?","No, I don’t have those skills. I’m just a data entry clerk, I don’t mess with systems.","Intermediate tactic: Cyber breach probe in UAE. Setting: sleek tech office, city noise. Female suspect, defensive tone.",culprit,"Avoids eye contact, furrowed brow",Rubbing hands together,"Slouched, defensive",Tapping foot on tiled floor
INT-367,"What is the specific objective of the operation in Aleppo, and who are the key players involved?","I’m not involved in any ops. I’m just a translator, I don’t know about objectives or players.","Advanced tactic: Strategic probe in a Syrian covert op. Setting: chaotic command post, distant gunfire. Male suspect, evasive tone.",culprit,"Neutral, slight sweat",Clenched under table,"Rigid, leaning back",Crossed tightly
INT-368,"Did you secure the critical asset during the operation in Kabul, and what steps did you take to ensure its safety?","Yes, I secured it. Locked it in the safe, checked the perimeter, and reported to command.","Basic tactic: Asset protection debrief in Afghanistan. Setting: dusty field base, generator hum. Female suspect, confident tone.",genuine,"Relaxed, open expression",Resting on table,"Upright, engaged","Relaxed, uncrossed"
INT-369,"Did you plant false evidence in the investigation in Beirut, and if so, what was your motive for doing so?","No, I didn’t touch any evidence. I’m just a lab assistant, I process samples, nothing else.","Intermediate tactic: Evidence tampering probe in Lebanon. Setting: humid police station, noisy. Male suspect, defensive tone.",culprit,"Quick glance away, tense lips",Fidgeting with sleeve,"Slouched, defensive",Shuffling on tiled floor
INT-370,"Who is the primary target of the planned attack in Damascus, and what specific actions are you tasked with?","I don’t know any targets. I’m just a mechanic, I fix equipment, not plan attacks.","Advanced tactic: Target probe in a Syrian counterterrorism op. Setting: chaotic command post, distant gunfire. Female suspect, evasive tone.",culprit,"Tense jaw, rapid blinking",Hidden under table,"Rigid, leaning away","Crossed, twitching"
INT-371,"Did you complete the assigned patrol in Erbil, and what observations did you report to command?","Yes, I completed it. Reported normal activity, no threats, just routine patrol stuff.","Basic tactic: Patrol debrief in Iraq. Setting: dusty command tent, radio chatter. Male suspect, cooperative tone.",genuine,"Calm, consistent eye contact",Gesturing naturally,"Upright, attentive","Still, feet flat"
INT-372,"Are you working as a double agent for the group in Istanbul, and if so, what information have you shared?","No, I’m loyal. I don’t work for anyone else, just my unit. This is a misunderstanding.","Unconventional tactic: Psychological pressure in a Turkish espionage case. Setting: smoky safe house, low lighting. Female suspect, emotional tone.",culprit,"Blank stare, slight sweat","Steady, hidden in pockets",Overly composed,"Still, aligned"
INT-373,"Did you log the incident accurately during the operation in Herat, and what specific details did you include?","Yes, I logged it. Noted the time, location, and minor equipment issue, all reported properly.","Basic tactic: Incident reporting check in Afghanistan. Setting: dusty field office, generator hum. Male suspect, cooperative tone.",genuine,"Relaxed, steady gaze",Resting on table,"Upright, engaged","Relaxed, uncrossed"
INT-374,"Did you gain unauthorized access to the vault in Doha, and if so, what did you remove from it?","No, I don’t have access to any vault. I’m just a receptionist, I don’t deal with secure stuff.","Intermediate tactic: Access probe in a Qatari theft case. Setting: sleek hotel conference room, city noise. Female suspect, defensive tone.",culprit,"Avoids eye contact, pursed lips",Rubbing neck,"Slouched, defensive",Tapping foot on carpet
INT-375,"What is the specific code used for the extraction in Aleppo, and who provided it to you?","I wasn’t given any code. I’m not involved in extractions, just basic admin work.","Advanced tactic: Code verification in a Syrian covert op. Setting: chaotic command post, distant gunfire. Male suspect, evasive tone.",culprit,"Neutral, rapid blinking",Clenched under table,"Rigid, leaning away","Crossed, twitching"
INT-376,"Did you inspect all equipment before the mission in Mosul, and what specific checks did you perform?","Yes, I checked everything. Radios, vehicles, all standard pre-mission stuff, no issues found.","Basic tactic: Equipment check debrief in Iraq. Setting: dusty field base, generator hum. Female suspect, cooperative tone.",genuine,"Calm, open expression",Gesturing naturally,"Upright, attentive","Still, feet flat"
INT-377,"Did you leak the operational plans for the mission in Damascus, and if so, who was the recipient?","No, I’d never do that. I’m loyal to my team, and I don’t know anyone outside my unit.","Intermediate tactic: Leak probe in a Syrian security breach case. Setting: cramped safe house, smell of diesel. Male suspect, defensive tone.",culprit,"Quick glance down, pursed lips",Fidgeting with sleeve,"Slouched, arms crossed",Shuffling on rug
INT-378,"What is the specific location of the target’s operations in Beirut, and how did you obtain this information?","I don’t have any info on targets. I’m just a driver, I stick to my routes, nothing else.","Advanced tactic: Intel extraction in a Lebanese hostage crisis. Setting: concrete detention cell, humid. Female suspect, evasive tone.",culprit,"Tense, slight sweat",Clenched under table,"Rigid, leaning back","Crossed, twitching"
